scene,degradation,channel,severity,frame,n_gt,tp,fp,fn,precision,recall,f1,mean_iou,depth_err_signed,depth_err_max,err3d,reliability,status,diagnosis1,diagnosis_all,latency_ms,monitor_ms,n_tracks,s_confidence,s_sharpness,s_exposure,s_clipping,s_noise,s_chroma,s_ood,s_temporal,s_motion,s_depth_valid,s_depth_consistency,s_geometry,s_timing,depth_err_corr,failure
multi,none,none,0.0,0,2,2,0,0,1.0,1.0,1.0,1.0,-1.244034767150879,2.1380691528320312,1.2588873292674259,0.27713335928508726,DEGRADED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Distribution shift (input unlike calibration set),57.706225000004,6.170198000006621,2,0.9505856293590424,1.0,0.9966140711386395,1.0,1.0,0.9997637354238725,0.820288995541156,0.0,1.0,0.9952380952380953,0.9907716530492656,0.9692784097154019,1.0,0.8953253289927616,0
multi,none,none,0.0,1,2,2,0,0,1.0,1.0,1.0,0.9761848982685465,-1.2448030969370976,2.1396058124044686,1.2557476548162199,0.8774680830245517,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation) | Distribution shift (input unlike calibration set),43.30504300003213,6.160734999980377,2,0.9504707541692301,1.0,0.9973703120271837,1.0,1.0,0.9943964851825511,0.8234825173166942,0.6094961240310077,0.356560980663947,0.9785714285714286,0.9907593204098566,0.9601939850011313,1.0,0.894556999206543,0
multi,none,none,0.0,2,2,2,0,0,1.0,1.0,1.0,0.9699998642573293,-1.2439535182455312,2.137906655021336,1.2547880542306196,0.9177960132289191,TRUSTED,Erratic object motion (large filter innovation),Erratic object motion (large filter innovation) | Unstable tracking / temporal disagreement | Distribution shift (input unlike calibration set),43.516184000054636,6.304527999986931,2,0.9512557008308204,1.0,0.99674742137951,1.0,1.0,0.9988858796382466,0.8475438437896108,0.7393669552144184,0.543402674063275,0.9788177339901478,0.9907612360413235,0.9733092117494057,1.0,0.8954065778981093,0
multi,none,none,0.0,3,2,2,0,0,1.0,1.0,1.0,0.9513859617109259,-1.2442721905915626,2.1385439997133986,1.2541875891371248,0.9277217945999476,TRUSTED,Erratic object motion (large filter innovation),Erratic object motion (large filter innovation) | Unstable tracking / temporal disagreement | Distribution shift (input unlike calibration set),43.15662300001577,6.106023000029381,2,0.9512636775575471,1.0,0.9965702105819607,1.0,1.0,1.0,0.8131511195321126,0.8034515993435419,0.6472779075777755,0.9959183673469387,0.9907450401543308,0.9392800991546307,1.0,0.895087905552078,0
multi,none,none,0.0,4,2,2,0,0,1.0,1.0,1.0,0.9479125398216857,-1.2443457686382793,2.138691155806832,1.2532994502601982,0.9386215619932963,TRUSTED,Erratic object motion (large filter innovation),Erratic object motion (large filter innovation) | Unstable tracking / temporal disagreement | Distribution shift (input unlike calibration set),43.54660899997498,6.291775999955007,2,0.9517075535109638,1.0,0.9968192253553634,1.0,1.0,0.9977677053065849,0.8409005612923582,0.8280177310428889,0.7127342635544152,0.9783068783068782,0.9902545871008644,0.9569425680091469,1.0,0.8950143275053613,0
multi,none,none,0.0,5,2,2,0,0,1.0,1.0,1.0,0.9539891245502226,-1.2441742523856778,2.138348123301629,1.2524120637355316,0.9434161709069405,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation) | Distribution shift (input unlike calibration set),43.52653599994483,6.15581499999962,2,0.9521096732173524,1.0,0.996167330146015,1.0,1.0,1.0,0.8581715729043413,0.8449522710178887,0.758079164953971,0.9967032967032967,0.9897687782621171,0.9276641177011545,1.0,0.8951858437579627,0
multi,none,none,0.0,6,2,2,0,0,1.0,1.0,1.0,0.9401802339603851,-1.2437590723452363,2.137517763220746,1.2526203748316664,0.9455778521825435,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Distribution shift (input unlike calibration set) | Erratic object motion (large filter innovation),43.315866999989794,6.185367999989921,2,0.9520830081098381,1.0,0.9966561631244846,1.0,1.0,0.9989509718254005,0.8567469687213646,0.852178547493122,0.7895706850438238,0.968956043956044,0.9897529023222349,0.9407158076061365,1.0,0.8956010237984042,0
multi,none,none,0.0,7,2,2,0,0,1.0,1.0,1.0,0.8626397439123228,-1.2290855076002032,2.10817063373068,1.2634012021090644,0.9347606758006484,TRUSTED,Distribution shift (input unlike calibration set),Distribution shift (input unlike calibration set) | Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation),43.2025690000728,6.138409000016054,2,0.9524112277486233,1.0,0.9996712226819917,1.0,1.0,0.9742018057233197,0.82531671866967,0.8390799212815074,0.7603730249033875,0.9672371031746032,0.9917981106435225,0.9106122462410025,1.0,0.9102745885434373,0
multi,none,none,0.0,8,2,2,0,0,1.0,1.0,1.0,0.8752658159137674,-5.719565598861031,11.089130816252336,5.756496414229951,0.8365392196353111,TRUSTED,Geometric inconsistency (calibration or depth scale error),Geometric inconsistency (calibration or depth scale error) | Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation),43.809799999962706,6.146513999965464,2,0.9384830621347897,0.9938330170406932,0.9996712226819917,1.0,1.0,0.9664882648616636,0.8416598118346639,0.8263248456078358,0.7262295762897812,0.9880952380952381,1.0,0.33614694788611915,1.0,-3.5802055027173907,1
multi,none,none,0.0,9,2,2,0,0,1.0,1.0,1.0,0.8867917966850737,-1.2637652106907051,2.1775300399116837,1.2640455824042591,0.9333217382699678,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation) | Distribution shift (input unlike calibration set),43.20166500002642,6.097162999992634,2,0.9535653553232366,1.0,0.9984102316774734,1.0,1.0,0.9833751174433771,0.8516971218951256,0.813330312618899,0.698936957432149,0.9773291925465839,0.9913084307073914,0.925588080591658,1.0,0.8755948854529354,0
